danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.316,0.63,5,-5.963,1,0.117,0.471,2.62E-01,0.205,0.313,89.643,audio_features,6N22FZs2ZhPBYi3b9XPajV,spotify:track:6N22FZs2ZhPBYi3b9XPajV,https://api.spotify.com/v1/tracks/6N22FZs2ZhPBYi3b9XPajV,https://api.spotify.com/v1/audio-analysis/6N22FZs2ZhPBYi3b9XPajV,153294,1
0.563,0.459,4,-7.781,0,0.0292,0.92,7.24E-01,0.11,0.197,79.983,audio_features,6potEImiklXkwD9qFzpu15,spotify:track:6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/tracks/6potEImiklXkwD9qFzpu15,https://api.spotify.com/v1/audio-analysis/6potEImiklXkwD9qFzpu15,202536,4
0.348,0.652,3,-7.145,1,0.0931,0.0165,2.64E-04,0.33,0.172,70.956,audio_features,10hMM5nsZQf66ldBlgWBfG,spotify:track:10hMM5nsZQf66ldBlgWBfG,https://api.spotify.com/v1/tracks/10hMM5nsZQf66ldBlgWBfG,https://api.spotify.com/v1/audio-analysis/10hMM5nsZQf66ldBlgWBfG,192987,4
0.492,0.326,4,-6.416,0,0.0505,0.84,0.00E+00,0.696,0.376,112.218,audio_features,1ZczOoLuCyDO5dKUPndxf5,spotify:track:1ZczOoLuCyDO5dKUPndxf5,https://api.spotify.com/v1/tracks/1ZczOoLuCyDO5dKUPndxf5,https://api.spotify.com/v1/audio-analysis/1ZczOoLuCyDO5dKUPndxf5,203574,4
0.232,0.598,2,-7.133,1,0.0551,0.169,7.10E-03,0.648,0.0998,158.135,audio_features,3Is0kAKFOdUIlMQCSOOX7B,spotify:track:3Is0kAKFOdUIlMQCSOOX7B,https://api.spotify.com/v1/tracks/3Is0kAKFOdUIlMQCSOOX7B,https://api.spotify.com/v1/audio-analysis/3Is0kAKFOdUIlMQCSOOX7B,446799,4
0.696,0.404,7,-10.662,0,0.0417,0.155,1.19E-02,0.228,0.116,120.057,audio_features,0dTAXSZZYf7YTKV1vtTlBz,spotify:track:0dTAXSZZYf7YTKV1vtTlBz,https://api.spotify.com/v1/tracks/0dTAXSZZYf7YTKV1vtTlBz,https://api.spotify.com/v1/audio-analysis/0dTAXSZZYf7YTKV1vtTlBz,182027,4
0.631,0.689,0,-5.118,1,0.036,0.0295,0.00E+00,0.372,0.34,144.007,audio_features,7MuwqAnrSPwzRvb8lRLjyv,spotify:track:7MuwqAnrSPwzRvb8lRLjyv,https://api.spotify.com/v1/tracks/7MuwqAnrSPwzRvb8lRLjyv,https://api.spotify.com/v1/audio-analysis/7MuwqAnrSPwzRvb8lRLjyv,189710,4
0.392,0.473,8,-11.377,0,0.118,0.824,1.56E-05,0.117,0.284,111.317,audio_features,4XjnaL1dDauhuvNFz1SLwW,spotify:track:4XjnaL1dDauhuvNFz1SLwW,https://api.spotify.com/v1/tracks/4XjnaL1dDauhuvNFz1SLwW,https://api.spotify.com/v1/audio-analysis/4XjnaL1dDauhuvNFz1SLwW,465816,5
0.618,0.729,7,-7.467,1,0.0258,0.00706,1.51E-02,0.385,0.757,80.016,audio_features,4WutHA9jWqFRkXwfbhU1WH,spotify:track:4WutHA9jWqFRkXwfbhU1WH,https://api.spotify.com/v1/tracks/4WutHA9jWqFRkXwfbhU1WH,https://api.spotify.com/v1/audio-analysis/4WutHA9jWqFRkXwfbhU1WH,225750,4
0.538,0.626,5,-8.272,1,0.0455,0.115,1.00E-05,0.137,0.241,132.908,audio_features,1kbGBcmr0vrs3hnpMbPCYd,spotify:track:1kbGBcmr0vrs3hnpMbPCYd,https://api.spotify.com/v1/tracks/1kbGBcmr0vrs3hnpMbPCYd,https://api.spotify.com/v1/audio-analysis/1kbGBcmr0vrs3hnpMbPCYd,243235,4
0.697,0.892,7,-3.358,0,0.0592,0.0131,2.50E-02,0.299,0.0374,125.015,audio_features,0fFHjnqpSpV8XuWyCKf6XU,spotify:track:0fFHjnqpSpV8XuWyCKf6XU,https://api.spotify.com/v1/tracks/0fFHjnqpSpV8XuWyCKf6XU,https://api.spotify.com/v1/audio-analysis/0fFHjnqpSpV8XuWyCKf6XU,478133,4
0.653,0.59,5,-9.649,1,0.104,0.000942,3.78E-01,0.2,0.625,168.054,audio_features,7bsPIUEEOuL5WlOPcYUrYx,spotify:track:7bsPIUEEOuL5WlOPcYUrYx,https://api.spotify.com/v1/tracks/7bsPIUEEOuL5WlOPcYUrYx,https://api.spotify.com/v1/audio-analysis/7bsPIUEEOuL5WlOPcYUrYx,293307,4
0.633,0.335,2,-13.42,1,0.0822,0.642,0.00E+00,0.0974,0.563,108.472,audio_features,0rFO7lAmgl8IaxCfZ5DreP,spotify:track:0rFO7lAmgl8IaxCfZ5DreP,https://api.spotify.com/v1/tracks/0rFO7lAmgl8IaxCfZ5DreP,https://api.spotify.com/v1/audio-analysis/0rFO7lAmgl8IaxCfZ5DreP,176480,3
0.436,0.552,11,-12.838,0,0.101,0.676,9.08E-06,0.0965,0.642,147.706,audio_features,6puDH4jNRgeRpMhzgMbO53,spotify:track:6puDH4jNRgeRpMhzgMbO53,https://api.spotify.com/v1/tracks/6puDH4jNRgeRpMhzgMbO53,https://api.spotify.com/v1/audio-analysis/6puDH4jNRgeRpMhzgMbO53,620173,4
