episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"American Gods S2E1 - ""House on the Rock""",Everybody Walkin' This Land,Paul Cauthen,7LXLgoroFNCQQpMQt0tMA7,0.705,0.424,G,-8.459,TRUE,0.0412,0.842,5.01E-03,0.204,0.357,96.056,186,4
"Dark S2E8 - ""Enden und Anfänge""",My Body Is a Cage,Peter Gabriel,4Gu1w7zBrDrRU4T2WHg1L5,0.341,0.114,"D♯,E♭",-12.903,TRUE,0.0342,0.851,9.11E-02,0.104,0.0797,79.806,373,4
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,0.51,0.434,"C♯,D♭",-10.004,TRUE,0.0361,0.177,5.16E-01,0.0603,0.207,119.695,309,4
"The Umbrella Academy S1E7 - ""The Day That Was""",Exit Music (For a Film),Radiohead,0s0lnAIcclHVjQ4fITlOoU,0.355,0.296,G,-10.074,TRUE,0.0321,0.148,1.30E-01,0.644,0.205,121.599,265,4
"Game of Thrones S8E3 - ""The Long Night""",The Night King,Ramin Djawadi,1aDklx1GaBqHFowCzz63wU,0.182,0.0651,"A♯,B♭",-16.341,TRUE,0.0462,0.942,8.86E-01,0.111,0.038,60.812,531,4
"Euphoria S1E6 - ""The Next Episode""",Love Surrounds You,Ramsey,3GqZnm8ONy68sMqTlxFrvk,0.464,0.572,G,-7.371,TRUE,0.0402,0.00229,4.55E-04,0.11,0.124,150.138,199,4
"Dark S2E7 - ""Der weiße Teufel""",God's Whisper,Raury,5H5yQqdVJSK9VW5fxMUI4M,0.617,0.535,A,-10.07,FALSE,0.0319,0.129,2.74E-01,0.1,0.461,144.009,244,3
"Grey's Anatomy S15E19 - ""Silent All These Years""",I Won't,Richard Walters,0d8ecVQ21crDPnkOmstmig,0.469,0.373,A,-7.98,FALSE,0.0437,0.617,2.21E-06,0.126,0.239,154.166,215,4
"Mindhunter S2E1 - ""Episode 1""",In Every Dream Home a Heartache,Roxy Music,3Wkho6tesTh4aF80T6evqH,0.182,0.539,"A♯,B♭",-10.839,FALSE,0.0799,0.0781,1.01E-04,0.212,0.413,69.717,329,4
"The Morning Show S1E2 - ""A Seat at the Table""",Creep,Rozzi,4XWoFq5b67eHpFwxW9uK45,0.406,0.216,A,-15.228,TRUE,0.0406,0.801,2.90E-05,0.115,0.111,180.029,297,3
